timestamp,formatted_time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
82632885,01-01 16:57:12:885,4,3,13,2,6,0,1,0
82632922,01-01 16:57:12:922,-3,-5,17,-3,-1,-1,3,0
82632988,01-01 16:57:12:988,-10,12,-6,-2,-5,-6,-8,0
82633025,01-01 16:57:13:25,-5,-16,-20,2,3,5,8,-3
82633085,01-01 16:57:13:85,4,5,62,-1,-1,-1,-1,-1
82633139,01-01 16:57:13:139,1,-1,-16,-5,-1,-2,-6,2
82633177,01-01 16:57:13:177,1,5,23,3,1,-2,1,-1
82633228,01-01 16:57:13:228,-9,-9,-72,0,-3,3,1,-1
82633288,01-01 16:57:13:288,-12,2,15,3,4,0,-2,3
82633342,01-01 16:57:13:342,2,4,2,-6,-2,-7,-4,3
82633393,01-01 16:57:13:393,1,2,-12,0,0,-6,-12,-4
82633439,01-01 16:57:13:439,-3,8,-15,-3,0,9,-33,20
82633490,01-01 16:57:13:490,-1,-1,-10,1,0,4,-7,-21
82633537,01-01 16:57:13:537,-8,-8,0,-1,-3,-10,11,-10
82633588,01-01 16:57:13:588,1,4,4,2,1,-16,-43,-3
82633648,01-01 16:57:13:648,4,18,-1,0,-2,-2,29,4
82633693,01-01 16:57:13:693,-13,11,-2,-2,2,0,-25,-22
82633739,01-01 16:57:13:739,8,-11,-4,0,4,-14,-6,10
82633799,01-01 16:57:13:799,-3,-13,-17,-10,-3,7,1,1
82633844,01-01 16:57:13:844,-4,7,38,-12,-3,6,-17,9
82633888,01-01 16:57:13:888,18,-6,14,7,4,8,55,7
82633942,01-01 16:57:13:942,4,-16,20,1,-4,16,21,-10
82633993,01-01 16:57:13:993,17,-10,-48,-7,-2,8,58,-6
82634053,01-01 16:57:14:53,4,43,29,5,-3,-5,-5,14
82634101,01-01 16:57:14:101,0,-19,-91,-27,-13,-1,0,11
82634159,01-01 16:57:14:159,5,18,77,-20,-6,5,1,-21
82634203,01-01 16:57:14:203,-5,11,127,12,0,-3,-1,8
82634256,01-01 16:57:14:256,-4,-12,-54,-9,5,2,2,1
82634303,01-01 16:57:14:303,1,-6,63,5,1,3,3,-2
82634362,01-01 16:57:14:362,-2,18,-3,-4,-2,0,-3,6
82634413,01-01 16:57:14:413,4,-20,25,0,-2,4,2,2
82634461,01-01 16:57:14:461,-3,-1,-1,-7,0,3,-7,-8
82634503,01-01 16:57:14:503,-1,-6,-29,-7,-3,3,6,4
82634563,01-01 16:57:14:563,2,-7,-5,3,-2,-2,-4,-1
82634603,01-01 16:57:14:603,-4,5,12,5,-1,0,5,9
82634663,01-01 16:57:14:663,-2,-17,-30,-5,0,-1,3,-6
82634705,01-01 16:57:14:705,4,20,-1,0,-1,-4,2,-5
82634765,01-01 16:57:14:765,-1,3,-1,-4,-3,-5,-1,-2
82634819,01-01 16:57:14:819,0,-15,-4,-1,-2,-3,-7,2
82634864,01-01 16:57:14:864,0,-1,1,0,-1,-1,-4,-4
82634915,01-01 16:57:14:915,-2,0,1,-1,0,-1,0,-4
82634963,01-01 16:57:14:963,0,1,-1,-2,0,-2,-3,-1
82635023,01-01 16:57:15:23,2,10,2,2,-2,-3,-3,-3
82635065,01-01 16:57:15:65,-2,-9,-4,-1,-2,-3,2,3
82635125,01-01 16:57:15:125,-1,1,41,-3,-1,-6,0,0
82635164,01-01 16:57:15:164,-2,4,-10,2,1,1,1,-1
82635224,01-01 16:57:15:224,-4,5,6,-2,-2,-1,-3,1
82635262,01-01 16:57:15:262,-2,15,28,1,1,1,-1,0
