timestamp,formatted_time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
81974456,01-01 16:46:14:456,3,4,8,-4,7,1,-5,0
81974515,01-01 16:46:14:515,-3,9,6,-1,2,-2,-6,0
81974560,01-01 16:46:14:560,-14,-19,-95,-23,0,0,5,1
81974605,01-01 16:46:14:605,2,3,0,1,-2,6,1,2
81974665,01-01 16:46:14:665,2,1,35,-1,-7,-20,-25,-4
81974717,01-01 16:46:14:717,0,-1,9,-1,1,8,-2,-1
81974765,01-01 16:46:14:765,0,16,-4,-3,-1,3,7,3
81974822,01-01 16:46:14:822,3,26,23,-5,-1,3,0,-2
81974861,01-01 16:46:14:861,-1,-37,103,-4,-9,-1,1,0
81974905,01-01 16:46:14:905,-11,-33,-39,-15,-4,-1,-2,-4
81974965,01-01 16:46:14:965,-46,52,101,41,3,2,0,-4
81975024,01-01 16:46:15:24,6,-19,10,-17,-2,-3,-3,-2
81975077,01-01 16:46:15:77,8,13,-30,21,11,3,1,0
81975122,01-01 16:46:15:122,-2,-27,24,8,-1,-1,1,-1
81975182,01-01 16:46:15:182,-3,10,17,-1,-1,-2,-1,-1
81975221,01-01 16:46:15:221,6,41,42,15,14,7,7,2
81975281,01-01 16:46:15:281,-5,12,17,3,-1,1,2,0
81975324,01-01 16:46:15:324,2,-7,-21,-18,-1,-1,2,-2
81975385,01-01 16:46:15:385,-9,9,-40,-5,-3,-3,-3,-3
81975432,01-01 16:46:15:432,18,-34,16,-3,-4,-6,-3,0
81975483,01-01 16:46:15:483,-1,14,-83,-8,1,1,2,-1
81975529,01-01 16:46:15:529,4,-17,30,-41,-11,-5,-2,-1
81975588,01-01 16:46:15:588,11,18,4,-3,-1,-1,-2,0
81975626,01-01 16:46:15:626,-9,-2,-14,11,4,-1,-1,-2
81975686,01-01 16:46:15:686,0,-15,-35,-4,-3,-4,-1,0
81975723,01-01 16:46:15:723,-16,-15,-14,-8,4,-1,-5,-3
81975783,01-01 16:46:15:783,6,8,26,7,1,-1,3,-2
81975843,01-01 16:46:15:843,-33,58,-6,-21,-17,-7,-2,-3
81975889,01-01 16:46:15:889,11,35,-1,20,13,8,7,5
81975926,01-01 16:46:15:926,-4,5,53,18,9,6,5,5
81975986,01-01 16:46:15:986,2,-18,-53,-14,-4,9,8,9
81976046,01-01 16:46:16:46,17,-11,-2,1,8,4,28,-2
81976083,01-01 16:46:16:83,35,-9,24,6,0,-1,-27,-4
81976144,01-01 16:46:16:144,8,-15,0,-1,-4,-17,-13,-7
81976189,01-01 16:46:16:189,9,-46,-2,-7,-5,-16,-43,-68
81976249,01-01 16:46:16:249,9,12,22,-1,-5,-23,-21,7
81976286,01-01 16:46:16:286,-11,1,-20,-6,-8,4,3,11
81976345,01-01 16:46:16:345,15,-14,17,5,-2,-2,-6,2
81976391,01-01 16:46:16:391,-4,-26,11,-4,-8,-21,-12,-3
81976451,01-01 16:46:16:451,-9,76,58,20,0,1,15,10
81976490,01-01 16:46:16:490,6,-33,14,5,2,-18,-11,-2
81976550,01-01 16:46:16:550,0,-76,-113,-14,-7,-2,-5,-5
81976608,01-01 16:46:16:608,0,-11,-64,-32,-20,-13,-6,-3
81976652,01-01 16:46:16:652,-16,-36,21,4,2,2,-4,-7
81976705,01-01 16:46:16:705,-1,-4,-82,4,-6,1,-1,-2
81976752,01-01 16:46:16:752,5,10,50,24,13,5,-1,0
81976812,01-01 16:46:16:812,-2,0,36,12,-4,-4,-1,-3
81976850,01-01 16:46:16:850,-5,-17,29,8,-9,-3,-2,-2
81976910,01-01 16:46:16:910,4,-3,6,-12,-1,0,-2,-1
81976953,01-01 16:46:16:953,2,-13,-119,-13,-7,0,-1,-2
81977013,01-01 16:46:17:13,5,16,7,0,5,3,1,3
81977065,01-01 16:46:17:65,1,8,21,-1,4,1,0,-2
81977112,01-01 16:46:17:112,-8,-24,-43,5,9,-15,-10,-3
81977150,01-01 16:46:17:150,3,8,55,-6,-8,-14,2,-21
81977210,01-01 16:46:17:210,-24,32,51,1,-9,-1,-29,-11
81977270,01-01 16:46:17:270,8,28,8,-3,-6,5,49,31
81977328,01-01 16:46:17:328,-15,-4,-60,0,-8,-7,-8,-23
81977373,01-01 16:46:17:373,2,-5,11,0,3,13,14,1
81977425,01-01 16:46:17:425,17,40,14,-1,-5,-7,2,12
81977472,01-01 16:46:17:472,19,-58,-52,8,17,16,1,-3
81977533,01-01 16:46:17:533,27,31,18,8,6,19,10,7
81977575,01-01 16:46:17:575,15,5,26,0,-12,-2,1,-19
81977635,01-01 16:46:17:635,-19,23,30,0,-10,-7,-2,1
81977675,01-01 16:46:17:675,1,-4,63,6,0,-4,-2,4
81977735,01-01 16:46:17:735,8,7,14,16,10,3,2,6
81977773,01-01 16:46:17:773,-26,-18,-9,-19,-2,0,0,-16
81977833,01-01 16:46:17:833,1,21,45,20,0,3,7,7
81977892,01-01 16:46:17:892,4,3,18,-3,2,3,23,2
81977936,01-01 16:46:17:936,10,-1,-60,3,4,4,23,27
81977987,01-01 16:46:17:987,-11,-8,-1,-1,-1,-1,-1,-4
81978042,01-01 16:46:18:42,-9,-10,32,-20,-9,-1,0,10
81978095,01-01 16:46:18:95,-9,-11,26,12,4,4,0,-1
81978132,01-01 16:46:18:132,2,-3,39,11,0,-2,-2,-4
81978192,01-01 16:46:18:192,7,-5,-73,-35,-22,-15,-5,1
81978250,01-01 16:46:18:250,-5,24,43,2,11,17,7,-4
81978296,01-01 16:46:18:296,-5,-45,-21,-5,-3,14,-19,-68
81978335,01-01 16:46:18:335,5,-8,-86,-15,-12,13,10,-33
81978395,01-01 16:46:18:395,23,17,0,1,0,-5,-34,32
81978453,01-01 16:46:18:453,3,23,-37,9,5,-1,14,-7
81978497,01-01 16:46:18:497,-17,31,11,6,5,6,13,-9
81978550,01-01 16:46:18:550,-5,8,17,-4,3,5,1,3
81978597,01-01 16:46:18:597,3,-36,20,-1,-3,-17,-9,-3
81978656,01-01 16:46:18:656,-4,-51,-52,8,5,-7,-9,-12
