timestamp,formatted_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,roll_w,pitch_w,yaw_w,rssi,pose 
81974312,01-01 16:46:14:312,0.664551,-0.472656,0.601562,-9.875,3.125,-2.9375,7,4,16,0,unknown
81974351,01-01 16:46:14:351,0.71582,-0.473633,0.573242,-18.3125,-3.75,-2.0625,7,4,16,0,unknown
81974373,01-01 16:46:14:373,0.71875,-0.491211,0.561035,-22.25,-5.6875,-0.625,6,4,16,0,unknown
81974455,01-01 16:46:14:455,0.69043,-0.422852,0.48584,-16.8125,6.6875,1.5,6,4,16,0,unknown
81974496,01-01 16:46:14:496,0.630859,-0.25293,0.405273,-22.125,24.3125,9,6,4,16,0,unknown
81974555,01-01 16:46:14:555,0.534668,-0.192383,0.390137,-11.5625,71.9375,40,6,4,16,0,unknown
81974612,01-01 16:46:14:612,0.63916,-0.442383,0.711914,30.1875,134.562,32.75,7,5,16,0,unknown
81974651,01-01 16:46:14:651,0.596191,-0.453613,0.831543,32.6875,154.188,18.4375,7,6,16,0,unknown
81974710,01-01 16:46:14:710,0.37207,-0.540527,0.768555,19.625,180.812,-2,7,6,15,0,unknown
81974770,01-01 16:46:14:770,0.20459,-0.529297,0.719727,27.9375,160.562,-29.9375,7,7,15,0,unknown
81974815,01-01 16:46:14:815,0.186035,-0.714355,0.748047,33.8125,128.938,-21.125,7,8,15,0,unknown
81974852,01-01 16:46:14:852,0.217285,-0.687988,0.963867,33.3125,117.438,-16.125,7,8,15,0,unknown
81974890,01-01 16:46:14:890,-0.0205078,-0.693359,1.0459,-13.375,116.75,28.4375,7,9,15,0,unknown
81974972,01-01 16:46:14:972,-0.355469,-0.578125,1.25146,72,61.6875,26.4375,7,9,15,0,unknown
81975010,01-01 16:46:15:10,-0.155762,-0.539551,1.27979,72.375,1.25,-21.125,8,9,15,0,unknown
81975070,01-01 16:46:15:70,-0.121094,-0.357422,1.14795,-2.75,-80.75,-43.3125,8,9,15,0,unknown
81975129,01-01 16:46:15:129,-0.0175781,-0.146484,0.844238,3.4375,-65.8125,-40.0625,8,8,15,0,unknown
81975167,01-01 16:46:15:167,-0.00976562,-0.193848,0.854492,32.1875,-37.9375,-28.5,8,8,15,0,unknown
81975227,01-01 16:46:15:227,0.0507812,-0.0683594,0.882812,13.6875,-1.875,-16,8,8,14,0,unknown
81975272,01-01 16:46:15:272,0.0629883,-0.265137,1.05371,10.1875,-5.6875,-7.5625,8,8,14,0,unknown
81975332,01-01 16:46:15:332,0.00146484,-0.179199,1.13428,-1.8125,-3.5625,5.5,8,8,14,0,unknown
81975370,01-01 16:46:15:370,-0.0117188,-0.312988,1.06152,2.4375,-4.5625,10.25,8,8,14,0,unknown
81975433,01-01 16:46:15:433,0.123535,-0.179199,0.930176,25.75,-1.4375,11,8,8,15,0,unknown
81975468,01-01 16:46:15:468,0.0664062,-0.201172,1.0166,22.625,-6.5,14.5625,8,8,15,0,unknown
81975530,01-01 16:46:15:530,0.0776367,-0.182129,0.986328,4.375,-0.625,7.75,8,8,15,0,unknown
81975572,01-01 16:46:15:572,0.17041,-0.126465,0.912109,-51.9375,18.6875,10.875,8,8,15,0,unknown
81975632,01-01 16:46:15:632,0.104492,-0.416016,0.956055,-108.062,57.5,13.3125,8,8,15,0,unknown
81975670,01-01 16:46:15:670,0,-0.451172,0.909668,-114.188,72.5625,14.6875,7,9,15,0,unknown
81975729,01-01 16:46:15:729,-0.152832,-0.491211,0.884766,-170.625,77.8125,-3.3125,7,9,14,0,unknown
81975790,01-01 16:46:15:790,-0.0766602,-0.591797,0.65918,-198.562,57.3125,-30.25,6,9,14,0,unknown
81975830,01-01 16:46:15:830,-0.0878906,-0.762207,0.568359,-231.125,68.5625,-22.875,6,9,14,0,unknown
81975890,01-01 16:46:15:890,-0.103027,-0.913086,0.475098,-97.375,58.0625,-23.5,5,9,14,0,unknown
