timestamp,formatted_time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1289343,12-31 18:21:29:343,-1,-4,-1,-5,-5,-2,-7,-2
1289403,12-31 18:21:29:403,-1,0,1,2,41,2,0,1
1289456,12-31 18:21:29:456,1,-2,-3,-11,-20,-34,2,0
1289508,12-31 18:21:29:508,-1,-1,-1,-2,-9,3,-1,-2
1289555,12-31 18:21:29:555,2,6,-2,4,31,7,-2,1
1289593,12-31 18:21:29:593,3,2,1,1,-36,-6,-1,-1
1289653,12-31 18:21:29:653,-1,0,1,5,8,-3,-1,0
1289710,12-31 18:21:29:710,2,1,-1,-10,-56,-5,2,-2
1289757,12-31 18:21:29:757,2,1,-1,-1,32,-1,0,0
1289817,12-31 18:21:29:817,-1,2,2,12,10,3,1,-3
1289868,12-31 18:21:29:868,1,0,5,5,2,7,-1,0
1289916,12-31 18:21:29:916,1,-2,0,0,-47,3,5,1
1289958,12-31 18:21:29:958,-1,2,-4,-5,20,-3,-1,0
1290013,12-31 18:21:30:13,1,-4,0,7,41,-7,8,2
1290073,12-31 18:21:30:73,4,5,-1,5,48,-2,-2,-1
1290118,12-31 18:21:30:118,2,0,4,5,28,-7,-4,1
1290156,12-31 18:21:30:156,-1,-2,3,5,27,-12,0,0
1290216,12-31 18:21:30:216,-2,-4,-1,8,51,1,-7,-2
1290276,12-31 18:21:30:276,0,0,2,34,9,13,-3,0
1290318,12-31 18:21:30:318,1,-2,-4,-12,2,11,-5,-1
1290379,12-31 18:21:30:379,-1,-1,-2,-15,-58,-4,-10,-3
1290423,12-31 18:21:30:423,2,1,1,-4,3,-4,-3,-1
1290462,12-31 18:21:30:462,-1,-1,-2,-10,-13,5,0,0
1290523,12-31 18:21:30:523,-4,-2,3,-9,-32,-15,-1,0
1290561,12-31 18:21:30:561,-1,3,-1,-14,33,13,1,0
1290621,12-31 18:21:30:621,2,3,-8,-38,-35,1,-1,-1
1290681,12-31 18:21:30:681,1,-1,-4,12,49,8,3,2
1290724,12-31 18:21:30:724,-4,-3,-9,-1,23,4,-2,0
1290784,12-31 18:21:30:784,0,2,3,-14,-14,-1,-1,-2
1290835,12-31 18:21:30:835,-3,9,-12,-6,16,-6,-4,-1
1290883,12-31 18:21:30:883,1,-9,8,13,-6,15,5,2
1290921,12-31 18:21:30:921,2,2,23,10,11,17,0,2
1290981,12-31 18:21:30:981,-5,-17,-1,-7,25,-2,4,3
